rec_id_hour,datetime,season_hour,year_hour,month_hour,hour,holiday_hour,weekday_hour,workingday_hour,weather_condition_hour,temp_hour,atemp_hour,humidity_hour,windspeed_hour,casual_hour,registered_hour,total_count_hour,rec_id_day,season_day,year_day,month_day,holiday_day,weekday_day,workingday_day,weather_condition_day,temp_day,atemp_day,humidity_day,windspeed_day,casual_day,registered_day,total_count_day,workingday_label,season_label,month_label
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3.0,13.0,16.0,1,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331.0,654,985,holiday,musim_semi,January
2,2011-01-02,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8.0,32.0,40.0,2,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131.0,670,801,holiday,musim_semi,January
3,2011-01-03,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5.0,27.0,32.0,3,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120.0,1229,1349,workingday,musim_semi,January
4,2011-01-04,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3.0,10.0,13.0,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108.0,1454,1562,workingday,musim_semi,January
5,2011-01-05,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0.0,1.0,1.0,5,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82.0,1518,1600,workingday,musim_semi,January
6,2011-01-06,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88.0,1518,1606,workingday,musim_semi,January
7,2011-01-07,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2.0,0.0,2.0,7,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148.0,1362,1510,workingday,musim_semi,January
8,2011-01-08,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1.0,2.0,3.0,8,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68.0,891,959,holiday,musim_semi,January
9,2011-01-09,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1.0,7.0,8.0,9,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54.0,768,822,holiday,musim_semi,January
10,2011-01-10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8.0,6.0,14.0,10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41.0,1280,1321,workingday,musim_semi,January
11,2011-01-11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12.0,24.0,36.0,11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43.0,1220,1263,workingday,musim_semi,January
12,2011-01-12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0,12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25.0,1137,1162,workingday,musim_semi,January
13,2011-01-13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29.0,55.0,84.0,13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38.0,1368,1406,workingday,musim_semi,January
14,2011-01-14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47.0,47.0,94.0,14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54.0,1367,1421,workingday,musim_semi,January
15,2011-01-15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35.0,71.0,106.0,15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222.0,1026,1248,holiday,musim_semi,January
16,2011-01-16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40.0,70.0,110.0,16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251.0,953,1204,holiday,musim_semi,January
17,2011-01-17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41.0,52.0,93.0,17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117.0,883,1000,holiday,musim_semi,January
18,2011-01-18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0,18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9.0,674,683,workingday,musim_semi,January
